Block size 	   Merge sort time 	   Quick sort time 
    100 	       0.000012 	      0.000008 
    200 	       0.000019 	      0.000016 
    300 	       0.000032 	      0.000023 
    400 	       0.000042 	      0.000031 
    500 	       0.000055 	      0.000040 
    600 	       0.000067 	      0.000049 
    700 	       0.000079 	      0.000061 
    800 	       0.000091 	      0.000070 
    900 	       0.000103 	      0.000079 
   1000 	       0.000116 	      0.000089 
   1100 	       0.000132 	      0.000097 
   1200 	       0.000143 	      0.000111 
   1300 	       0.000156 	      0.000118 
   1400 	       0.000172 	      0.000132 
   1500 	       0.000181 	      0.000131 
   1600 	       0.000179 	      0.000135 
   1700 	       0.000191 	      0.000153 
   1800 	       0.000201 	      0.000158 
   1900 	       0.000219 	      0.000166 
   2000 	       0.000228 	      0.000178 
   2100 	       0.000243 	      0.000184 
   2200 	       0.000259 	      0.000200 
   2300 	       0.000268 	      0.000210 
   2400 	       0.000280 	      0.000220 
   2500 	       0.000294 	      0.000228 
   2600 	       0.000306 	      0.000240 
   2700 	       0.000296 	      0.000231 
   2800 	       0.000307 	      0.000244 
   2900 	       0.000319 	      0.000249 
   3000 	       0.000329 	      0.000260 
   3100 	       0.000342 	      0.000265 
   3200 	       0.000357 	      0.000272 
   3300 	       0.000369 	      0.000300 
   3400 	       0.000380 	      0.000292 
   3500 	       0.000368 	      0.000288 
   3600 	       0.000376 	      0.000297 
   3700 	       0.000389 	      0.000312 
   3800 	       0.000412 	      0.000313 
   3900 	       0.000411 	      0.000340 
   4000 	       0.000424 	      0.000338 
   4100 	       0.000434 	      0.000348 
   4200 	       0.000451 	      0.000361 
   4300 	       0.000463 	      0.000337 
   4400 	       0.000444 	      0.000344 
   4500 	       0.000462 	      0.000347 
   4600 	       0.000459 	      0.000359 
   4700 	       0.000473 	      0.000376 
   4800 	       0.000482 	      0.000375 
   4900 	       0.000496 	      0.000395 
   5000 	       0.000502 	      0.000395 
   5100 	       0.000514 	      0.000408 
   5200 	       0.000522 	      0.000425 
   5300 	       0.000537 	      0.000420 
   5400 	       0.000531 	      0.000417 
   5500 	       0.000543 	      0.000426 
   5600 	       0.000551 	      0.000435 
   5700 	       0.000561 	      0.000436 
   5800 	       0.000560 	      0.000457 
   5900 	       0.000575 	      0.000456 
